Component,Description,Unit,Cost,Distibutor,Link
ESP32-S3,"Micro Controler, send code to components",1, $34.91 ,Amazon,LIANXUE Potente ESP32S3-DevKitC-1 Placa de desarrollo WiFi Microcontrolador Procesador ESP32S3-WROOM-1-N16R8 Placa de desarrollo de repuesto : Amazon.com.mx: Electrónicos
DRV8833,H bridge for motors and control PWM,1, $111.00 ,Amazon,EC Buying DRV8833 - Módulo de driver de motor de doble puente H compatible con TB6612FNG PCB rojo : Amazon.com.mx: Herramientas y Mejoras del Hogar
OLED.96,"Display, shows data (orpheus eyes)",2, $4.49 ,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-705156753-display-pantalla-oled-128x64-096-para-arduino-_JM?searchVariation=63044404311
OLED.91,"Display, shows data (orpheus mouth)",1, $1.31 ,AlliExpress,"Módulo OLED de 0,91 pulgadas 0,91 ""Blanco Azul 128X32 Pantalla LED LCD 0,91"" IIC Comunicar para Arduino - AliExpress 502"
HC-SR04,"Ultra sonic sensor, meausres distance",1, $2.96 ,Mercado Libre,Sensor De Distancia Hc-sr04 Ultrasónico | Meses sin interés
IR,"infrared sensor, orpheus detects touch ",1, $4.88 ,AlliExpress,"Módulo de Sensor Infrarrojo IR para Evitar Obstáculos, para Arduino, Coche Inteligente, Robot, Fotoeléctrico Reflectante de 3 Cables, Nuevo"
MG-996R,"Servo Motor, orpheus neck ",1, $7.33 ,Mercado Libre,Servomotor Mg996r / Mg995 Servo Motor | Envío gratis
dc engines,Movement or orpheus bot,2, $4.00 ,AlliExpress,Motorreductor TT 1:48 3 a 6 V DC 200 RPM : Amazon.com.mx: Deportes y Aire Libre
buck converters,For Voltage Protecction of the components,3, $6.76 ,AlliExpress,Regulador de Voltaje LM2596 Buck Converter 3-40V a 1.5-35V 3A : Amazon.com.mx: Electrónicos
Resistors 1k,"Kit of resistores, It helps with voltages",3, $1.67 ,AlliExpress,"100 piezas de resistores de película metálica de 1/4W, 1R ~ 1M ohmios, 100R, 220R, 330R, 1K, 1.5K, 2.2K, 3.3K, 4.7K, 10K, 22K, 47K, 100K, 100, 220, 330, 1K5, 2K2, 3K3, 4K7"
Capacitores 470uf,"Kit of Capacitores, It helps with voltages",3, $1.21 ,AlliExpress,5 uds 35V 470uF condensador electrolítico de aluminio 4V 10V 16V 25V 35V 100UF 220UF 330UF 470UF 680UF 1000UF 47UF 1500UF 10UF 22UF - AliExpress 502
Potobard,Helps With the wiring ,1, $3.41 ,AlliExpress,"Destec Protoboard MB-102, 830 Puntos de Conexión, Placa de Pruebas Electrónicas : Amazon.com.mx: Industria, Empresas y Ciencia"
Wires Dupont,"Kit, Conects the components",1, $1.79 ,AlliExpress,"Cable Dupont macho a macho, 10CM, 40 piezas, fila de 2,54 MM, Cable de puente de placa de pruebas para cables eléctricos Arduino - AliExpress 13"
Push Botton,I added for a RST button of ESP32 (),1, $3.35 ,Mercado Libre,"Switch De Push, De Boton Redondo, Normalmente Abier | Au-105 Rojo | Envío gratis"
